"","country","happiness_index","sd_ladder","positive_affect","negative_effect","social_support","freedom","corruption","generosity","log_gdp","life_expectancy","region","population","area_sq_ft","population_density","coastline","net_migration","infant_mortality","gdp_capita","literacy","phones","arable_land","crops_land","other_land","climate","birthrate","deathrate","agriculture","industry","service"
"1","Afghanistan",154,25,152,133,151,155,136,137,134,139,"ASIA (EX. NEAR EAST)         ",31056997,647500,"48,0","0,00","23,06","163,07",700,"36,0","3,2","12,13","0,22","87,65","1","46,6","20,34","0,38","0,24","0,38"
"2","Albania",107,126,90,108,133,87,134,60,81,40,"EASTERN EUROPE                     ",3581655,28748,"124,6","1,26","-4,93","21,52",4500,"86,5","71,2","21,09","4,42","74,49","3","15,11","5,22","0,232","0,188","0,579"
"3","Algeria",88,56,113,106,101,149,46,128,72,78,"NORTHERN AFRICA                    ",32930091,2381740,"13,8","0,04","-0,39","31",6000,"70,0","78,1","3,22","0,25","96,53","1","17,14","4,61","0,101","0,6","0,298"
"4","Argentina",47,97,28,93,46,54,109,123,55,37,"LATIN AMER. & CARIB    ",39921833,2766890,"14,4","0,18","0,61","15,18",11200,"97,1","220,4","12,31","0,48","87,21","3","16,73","7,55","0,095","0,358","0,547"
"5","Armenia",116,82,126,145,117,123,93,129,91,64,"C.W. OF IND. STATES ",2976372,29800,"99,9","0,00","-6,47","23,28",3500,"98,6","195,7","17,55","2,3","80,15","4","12,07","8,23","0,239","0,343","0,418"
"6","Australia",11,26,47,37,7,17,13,6,18,10,"OCEANIA                            ",20264082,7686850,"2,6","0,34","3,98","4,69",29000,"100,0","565,5","6,55","0,04","93,41","1","12,14","7,51","0,038","0,262","0,7"
"7","Austria",10,10,64,24,31,26,19,25,16,15,"WESTERN EUROPE                     ",8192880,83870,"97,7","0,00","2","4,66",30000,"98,0","452,2","16,91","0,86","82,23","3","8,74","9,76","0,018","0,304","0,678"
"8","Azerbaijan",90,24,134,20,104,101,22,146,65,82,"C.W. OF IND. STATES ",7961619,86600,"91,9","0,00","-4,9","81,74",3400,"97,0","137,1","19,63","2,71","77,66","1","20,74","9,75","0,141","0,457","0,402"
"9","Bahrain",37,83,39,83,59,24,0,23,20,42,"NEAR EAST                          ",698585,665,"1050,5","24,21","1,05","17,27",16900,"89,1","281,3","2,82","5,63","91,55","1","17,8","4,14","0,005","0,387","0,608"
"10","Bangladesh",125,52,145,68,126,27,36,107,119,90,"ASIA (EX. NEAR EAST)         ",147365352,144000,"1023,4","0,40","-0,71","62,6",1900,"43,1","7,3","62,11","3,07","34,82","2","29,8","8,27","0,199","0,198","0,603"
